# distance (nm) Capacitances(F)
2.000000000000000000e+00 6.122996890229356642e-15
3.000000000000000000e+00 6.122646445601432340e-15
4.000000000000000000e+00 6.122301887304171752e-15
5.000000000000000000e+00 6.121962433912706843e-15
6.000000000000000000e+00 6.121627455150212235e-15
7.000000000000000000e+00 6.121296435234233454e-15
8.000000000000000000e+00 6.120968946678798496e-15
9.000000000000000000e+00 6.120644631171883592e-15
1.000000000000000000e+01 6.120323185356430473e-15
1.100000000000000000e+01 6.120004350081985580e-15
1.200000000000000000e+01 6.119687902159378375e-15
1.300000000000000000e+01 6.119373647951125503e-15
1.400000000000000000e+01 6.119061418328753424e-15
1.500000000000000000e+01 6.118751064662019729e-15
1.600000000000000000e+01 6.118442455596873886e-15
1.700000000000000000e+01 6.118135474443364443e-15
1.800000000000000000e+01 6.117830017040032416e-15
1.900000000000000000e+01 6.117525989994288414e-15
# Totalsim(params=Params(Rtip=20.0, theta_deg=15.0, Hcone=15000.0, Hcant=500.0, Rcant=40000.0, zMax=1000000.0, rhoMax=1000000.0, h0=0.5, d=19.0, Nuni=1, Nr=500, Nz_plus=500, hsam=10.0), dmin=2.0, dmax=20.0, istep=2.0, fname=C-Z.dat), Test=0
