 #  Z/R                U/pie0RV2                  C/pie0R
   3.33333  1.0528802E+03  2.1057604E+03
   3.40000  1.0527335E+03  2.1054670E+03
   3.46667  1.0525874E+03  2.1051749E+03
   3.53333  1.0524421E+03  2.1048841E+03
   3.60000  1.0522973E+03  2.1045947E+03
   3.66667  1.0521532E+03  2.1043065E+03
   3.73333  1.0520098E+03  2.1040195E+03
   3.80000  1.0518669E+03  2.1037338E+03
   3.86667  1.0517246E+03  2.1034492E+03
   3.93333  1.0515829E+03  2.1031658E+03
   4.00000  1.0514417E+03  2.1028835E+03
   4.06667  1.0513011E+03  2.1026023E+03
   4.13333  1.0511611E+03  2.1023222E+03
   4.20000  1.0510215E+03  2.1020431E+03
   4.26667  1.0508825E+03  2.1017650E+03
   4.33333  1.0507440E+03  2.1014880E+03
   4.40000  1.0506060E+03  2.1012120E+03
   4.46667  1.0504684E+03  2.1009369E+03
   4.53333  1.0503314E+03  2.1006628E+03
   4.60000  1.0501948E+03  2.1003896E+03
   4.66667  1.0500586E+03  2.1001173E+03
   4.73333  1.0499230E+03  2.0998459E+03
   4.80000  1.0497877E+03  2.0995754E+03
   4.86667  1.0496529E+03  2.0993058E+03
   4.93333  1.0495185E+03  2.0990371E+03
   5.00000  1.0493846E+03  2.0987691E+03
   5.06667  1.0492510E+03  2.0985020E+03
   5.13333  1.0491179E+03  2.0982358E+03
   5.20000  1.0489851E+03  2.0979703E+03
   5.26667  1.0488528E+03  2.0977056E+03
   5.33333  1.0487208E+03  2.0974416E+03
   5.40000  1.0485892E+03  2.0971785E+03
   5.46667  1.0484580E+03  2.0969161E+03
   5.53333  1.0483272E+03  2.0966544E+03
   5.60000  1.0481967E+03  2.0963935E+03
   5.66667  1.0480666E+03  2.0961332E+03
   5.73333  1.0479369E+03  2.0958737E+03
   5.80000  1.0478074E+03  2.0956149E+03
   5.86667  1.0476784E+03  2.0953567E+03
   5.93333  1.0475496E+03  2.0950993E+03
   6.00000  1.0474212E+03  2.0948425E+03
   6.06667  1.0472932E+03  2.0945864E+03
   6.13333  1.0471654E+03  2.0943309E+03
   6.20000  1.0470380E+03  2.0940761E+03
   6.26667  1.0469109E+03  2.0938219E+03
   6.33333  1.0467841E+03  2.0935683E+03
   6.40000  1.0466577E+03  2.0933153E+03
   6.46667  1.0465315E+03  2.0930630E+03
   6.53333  1.0464056E+03  2.0928112E+03
   6.60000  1.0462801E+03  2.0925601E+03
   6.66667  1.0461548E+03  2.0923095E+03
   6.73333  1.0460298E+03  2.0920596E+03
   6.80000  1.0459051E+03  2.0918102E+03
   6.86667  1.0457807E+03  2.0915613E+03
   6.93333  1.0456565E+03  2.0913131E+03
   7.00000  1.0455327E+03  2.0910654E+03
   7.06667  1.0454091E+03  2.0908182E+03
   7.13333  1.0452858E+03  2.0905716E+03
   7.20000  1.0451628E+03  2.0903255E+03
   7.26667  1.0450400E+03  2.0900800E+03
   7.33333  1.0449175E+03  2.0898349E+03
   7.40000  1.0447952E+03  2.0895904E+03
   7.46667  1.0446732E+03  2.0893465E+03
   7.53333  1.0445515E+03  2.0891030E+03
   7.60000  1.0444300E+03  2.0888600E+03
   7.66667  1.0443088E+03  2.0886175E+03
   7.73333  1.0441878E+03  2.0883756E+03
   7.80000  1.0440670E+03  2.0881341E+03
   7.86667  1.0439465E+03  2.0878931E+03
   7.93333  1.0438263E+03  2.0876526E+03
   8.00000  1.0437063E+03  2.0874125E+03
   8.06667  1.0435865E+03  2.0871729E+03
   8.13333  1.0434669E+03  2.0869338E+03
   8.20000  1.0433476E+03  2.0866952E+03
   8.26667  1.0432285E+03  2.0864570E+03
